""	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000215277.9	-0.244679237105405	-1.17859526042368	-1.09904181651341	0.277638715198648	0.999993131445251	-4.58613604789533
ENSG00000185522.9	-0.364564343752803	-2.35044024683097	-1.09876520898745	0.277758069508571	0.999993131445251	-4.58784514677913
ENSG00000197837.4	0.181989507380555	-0.594999326866305	1.09873120855617	0.277772742961311	0.999993131445251	-4.58591509654989
ENSG00000230063.1	-0.340163821099832	-2.10703288907532	-1.0987302153215	0.27777317161649	0.999993131445251	-4.58748355598944
ENSG00000198844.12	-0.329616935097518	-0.562149269127934	-1.09854702873245	0.277852238318091	0.999993131445251	-4.58595988934426
ENSG00000236187.1	-0.292225870535674	-0.971461403933002	-1.09831839345572	0.277950943733426	0.999993131445251	-4.58607659453158
ENSG00000138821.14	-0.178543341307878	1.49933016635398	-1.09830651742394	0.277956071475801	0.999993131445251	-4.59775462091872
ENSG00000135973.3	-0.333740268230604	-1.81578430174158	-1.09797409193814	0.278099630632291	0.999993131445251	-4.58712398725773
ENSG00000121057.13	-0.0800511895955207	3.4366698622292	-1.09786233112707	0.278147906664069	0.999993131445251	-4.61648302652774
ENSG00000271746.1	0.231985154699525	-2.39408442040657	1.09768472904043	0.27822463552614	0.999993131445251	-4.58801660431564
ENSG00000257126.6	-0.173208199064619	0.58143271301917	-1.09761643855942	0.278254142808694	0.999993131445251	-4.58956880051802
ENSG00000241472.8	-0.11479120036744	2.81478953280328	-1.09753243633967	0.278290441915774	0.999993131445251	-4.61303457009715
ENSG00000152229.18	0.439092332561543	-1.69012881709556	1.09733878142873	0.278374136926787	0.999993131445251	-4.58701905723467
ENSG00000129493.15	-0.167274534299082	2.7808624492848	-1.09721072011893	0.278429493005105	0.999993131445251	-4.61288266448694
ENSG00000179954.16	-0.183473384620789	0.42012810673827	-1.0971005484167	0.27847712227713	0.999993131445251	-4.58878000528742
ENSG00000163002.13	-0.15636823353407	0.625570501669959	-1.09706524884501	0.278492384149684	0.999993131445251	-4.59000944629267
ENSG00000279369.1	0.282238293855845	-1.21032800995369	1.09705299128924	0.278497683877233	0.999993131445251	-4.58647046159022
ENSG00000158517.16	-0.414849582232097	-2.36980230233892	-1.09686315550964	0.278579771119119	0.999993131445251	-4.58806578988395
ENSG00000167523.15	-0.129609293697665	1.03322550818811	-1.09672489298728	0.278639568184455	0.999993131445251	-4.5933644836154
ENSG00000163145.13	-0.274747284249688	-0.150719496380499	-1.09663665635431	0.278677734305688	0.999993131445251	-4.58683444982553
ENSG00000256637.9	-0.498069363267865	-2.84285043172577	-1.09652320836003	0.278726810822947	0.999993131445251	-4.58868323294183
ENSG00000083097.15	0.114310590577142	4.84872726012288	1.09644633531283	0.278760068822786	0.999993131445251	-4.61617558855131
ENSG00000183647.11	0.216766353579085	-0.671861955643171	1.09643234160181	0.278766123297513	0.999993131445251	-4.58632808401014
ENSG00000289212.1	0.319810819186697	-1.59250744895766	1.09607505174289	0.278920738524244	0.999993131445251	-4.587049378529
